Name of the farmer,Type of Soil,Type/Variety,Location,Type of Crops,Week 1,Week 2,Week 3,Week 4,Month,Year,Total,Report Type
Garrett Michael Thomas,Irrigated,NSIC Rc 222,Purok 2,Coconut,1.71,1.72,1.45,1.29,February,2020,6.17,Harvest
Garrett Michael Thomas,Non-Irrigated,PSB Rc82,Purok 2,Coconut,1.49,1.76,1.37,1.66,March,2020,6.28,Harvest
Garrett Michael Thomas,Non-Irrigated,Tubigan 14,Purok 2,Coconut,1.09,1.18,1,0.53,April,2020,3.8,Harvest
Garrett Michael Thomas,Irrigated,Tubigan 14,Purok 2,Coconut,1.28,0.87,1.16,0.78,May,2020,4.09,Harvest
Garrett Michael Thomas,Irrigated,NSIC Rc 222,Purok 2,Coconut,1.68,1.6,0.9,0.79,June,2020,4.97,Harvest
Garrett Michael Thomas,Irrigated,PSB Rc82,Purok 2,Coconut,0.77,0.72,1.22,1.39,July,2020,4.1,Harvest
Garrett Michael Thomas,Irrigated,PSB Rc82,Purok 2,Coconut,1.64,1.18,1.4,1.88,August,2020,6.1,Harvest
Garrett Michael Thomas,Non-Irrigated,NSIC Rc 216,Purok 2,Coconut,1.23,1.79,0.76,0.69,September,2020,4.47,Harvest
Garrett Michael Thomas,Non-Irrigated,Tubigan 14,Purok 2,Coconut,1.32,1.67,1.88,1.02,October,2020,5.89,Harvest
Garrett Michael Thomas,Irrigated,NSIC Rc 216,Purok 2,Coconut,0.99,0.94,1.95,0.5,November,2020,4.38,Harvest
Garrett Michael Thomas,Irrigated,NSIC Rc 216,Purok 2,Coconut,1.08,1.91,0.62,1.85,December,2020,5.46,Harvest
Garrett Michael Thomas,Non-Irrigated,Tubigan 14,Purok 2,Coconut,1.56,1.13,0.69,0.53,January,2021,3.91,Harvest
Garrett Michael Thomas,Non-Irrigated,Tubigan 14,Purok 2,Coconut,1.44,0.69,1.04,1.91,February,2021,5.08,Harvest
Garrett Michael Thomas,Non-Irrigated,Tubigan 14,Purok 2,Coconut,1.84,0.53,1.18,1.16,March,2021,4.71,Harvest
Garrett Michael Thomas,Irrigated,Tubigan 14,Purok 2,Coconut,0.87,1.72,1,1.29,April,2021,4.88,Harvest
Garrett Michael Thomas,Non-Irrigated,PSB Rc82,Purok 2,Coconut,0.82,1.11,1.16,1.58,May,2021,4.67,Harvest
Garrett Michael Thomas,Irrigated,NSIC Rc 222,Purok 2,Coconut,1.71,0.54,0.95,1.87,June,2021,5.07,Harvest
Garrett Michael Thomas,Irrigated,Tubigan 14,Purok 2,Coconut,1.66,1.76,1.84,1.2,July,2021,6.46,Harvest
Garrett Michael Thomas,Non-Irrigated,NSIC Rc 222,Purok 2,Coconut,1.6,1.83,1.81,1.2,August,2021,6.44,Harvest
Garrett Michael Thomas,Non-Irrigated,NSIC Rc 216,Purok 2,Coconut,1.98,1.45,1.76,1.18,September,2021,6.37,Harvest
Garrett Michael Thomas,Non-Irrigated,NSIC Rc 222,Purok 2,Coconut,0.63,0.97,1.02,1.06,October,2021,3.68,Harvest
Garrett Michael Thomas,Non-Irrigated,NSIC Rc 216,Purok 2,Coconut,0.84,0.53,1.72,0.89,November,2021,3.98,Harvest
Garrett Michael Thomas,Non-Irrigated,NSIC Rc 216,Purok 2,Coconut,1.24,0.96,1.1,1.53,December,2021,4.83,Harvest
Garrett Michael Thomas,Non-Irrigated,NSIC Rc 222,Purok 2,Coconut,1.21,1.28,1.55,1.15,January,2022,5.19,Harvest
Garrett Michael Thomas,Non-Irrigated,NSIC Rc 222,Purok 2,Coconut,1.4,1.92,0.75,1.19,February,2022,5.26,Harvest
Garrett Michael Thomas,Irrigated,NSIC Rc 216,Purok 2,Coconut,0.96,1.9,0.69,1.64,March,2022,5.19,Harvest
Garrett Michael Thomas,Irrigated,Tubigan 14,Purok 2,Coconut,1.89,1.07,1.57,1.46,April,2022,5.99,Harvest
Garrett Michael Thomas,Non-Irrigated,NSIC Rc 216,Purok 2,Coconut,1.21,1.56,1.38,0.57,May,2022,4.72,Harvest
Garrett Michael Thomas,Non-Irrigated,PSB Rc82,Purok 2,Coconut,1.42,1.6,1.37,0.82,June,2022,5.21,Harvest
Garrett Michael Thomas,Non-Irrigated,NSIC Rc 216,Purok 2,Coconut,1.41,1.95,1.25,1.43,July,2022,6.04,Harvest
Garrett Michael Thomas,Non-Irrigated,NSIC Rc 222,Purok 2,Coconut,0.64,1.58,1.36,0.69,August,2022,4.27,Harvest
Garrett Michael Thomas,Irrigated,Tubigan 14,Purok 2,Coconut,1.83,1.4,1.67,0.95,September,2022,5.85,Harvest
Garrett Michael Thomas,Non-Irrigated,NSIC Rc 216,Purok 2,Coconut,1.26,1.55,0.72,0.91,October,2022,4.44,Harvest
Garrett Michael Thomas,Non-Irrigated,NSIC Rc 222,Purok 2,Coconut,0.64,0.76,0.9,0.66,November,2022,2.96,Harvest
Garrett Michael Thomas,Irrigated,PSB Rc82,Purok 2,Coconut,1.94,0.58,1.97,1.71,December,2022,6.2,Harvest
Garrett Michael Thomas,Irrigated,Tubigan 14,Purok 2,Coconut,0.98,0.67,1.05,1.47,January,2023,4.17,Harvest
Garrett Michael Thomas,Irrigated,NSIC Rc 222,Purok 2,Coconut,1.77,0.82,0.52,1.24,February,2023,4.35,Harvest
Garrett Michael Thomas,Irrigated,Tubigan 14,Purok 2,Coconut,1.41,1.01,0.78,0.61,March,2023,3.81,Harvest
Garrett Michael Thomas,Non-Irrigated,Tubigan 14,Purok 2,Coconut,1.26,1.27,1.94,0.6,April,2023,5.07,Harvest
Garrett Michael Thomas,Irrigated,PSB Rc82,Purok 2,Coconut,0.81,0.74,1.04,0.77,May,2023,3.36,Harvest
Garrett Michael Thomas,Non-Irrigated,Tubigan 14,Purok 2,Coconut,1.75,0.92,1.72,1,June,2023,5.39,Harvest
Garrett Michael Thomas,Irrigated,Tubigan 14,Purok 2,Coconut,1.52,1.21,1.19,1.02,July,2023,4.94,Harvest
Garrett Michael Thomas,Irrigated,NSIC Rc 222,Purok 2,Coconut,1.48,1.28,0.95,1.36,August,2023,5.07,Harvest
Garrett Michael Thomas,Irrigated,PSB Rc82,Purok 2,Coconut,1.63,1.88,1.16,1.2,September,2023,5.87,Harvest
Garrett Michael Thomas,Non-Irrigated,Tubigan 14,Purok 2,Coconut,0.84,0.7,1.64,1.29,October,2023,4.47,Harvest
Garrett Michael Thomas,Non-Irrigated,NSIC Rc 222,Purok 2,Coconut,0.57,1.22,1.85,1.58,November,2023,5.22,Harvest
Garrett Michael Thomas,Irrigated,Tubigan 14,Purok 2,Coconut,0.95,1.1,1.07,1.16,December,2023,4.28,Harvest
Garrett Michael Thomas,Non-Irrigated,NSIC Rc 216,Purok 2,Coconut,1.33,1.36,1.71,0.65,January,2024,5.05,Harvest
Garrett Michael Thomas,Non-Irrigated,Tubigan 14,Purok 2,Coconut,0.91,1.82,2,1.86,February,2024,6.59,Harvest
Garrett Michael Thomas,Non-Irrigated,NSIC Rc 222,Purok 2,Coconut,1.26,1.14,0.93,1.72,March,2024,5.05,Harvest
Garrett Michael Thomas,Irrigated,NSIC Rc 222,Purok 2,Coconut,1.78,1.55,1.92,0.52,April,2024,5.77,Harvest
Garrett Michael Thomas,Non-Irrigated,NSIC Rc 222,Purok 2,Coconut,0.86,1.74,0.87,1.31,May,2024,4.78,Harvest
Garrett Michael Thomas,Non-Irrigated,NSIC Rc 222,Purok 2,Coconut,1.35,1.26,1.85,1.96,June,2024,6.42,Harvest
Garrett Michael Thomas,Non-Irrigated,Tubigan 14,Purok 2,Coconut,0.77,0.74,1.98,1.62,July,2024,5.11,Harvest
Garrett Michael Thomas,Non-Irrigated,PSB Rc82,Purok 2,Coconut,1.86,1.3,1.69,0.76,August,2024,5.61,Harvest
Garrett Michael Thomas,Non-Irrigated,PSB Rc82,Purok 2,Coconut,1.97,1.78,0.6,1.01,September,2024,5.36,Harvest
Garrett Michael Thomas,Non-Irrigated,NSIC Rc 222,Purok 2,Coconut,0.75,1.31,1.92,1.3,October,2024,5.28,Harvest
Garrett Michael Thomas,Non-Irrigated,PSB Rc82,Purok 2,Coconut,1.82,0.95,0.86,0.88,November,2024,4.51,Harvest
Garrett Michael Thomas,Irrigated,Tubigan 14,Purok 2,Coconut,1.41,0.53,1.98,1.7,December,2024,5.62,Harvest
Steven Christine Webster,Irrigated,NSIC Rc 222,Purok 2,Corn,1.47,1.95,1.76,1.43,January,2020,6.61,Harvest
Steven Christine Webster,Non-Irrigated,PSB Rc82,Purok 2,Corn,0.93,1.37,0.93,0.94,February,2020,4.17,Harvest
Steven Christine Webster,Irrigated,NSIC Rc 222,Purok 2,Corn,1.32,1.55,1.48,0.91,March,2020,5.26,Harvest
Steven Christine Webster,Irrigated,NSIC Rc 222,Purok 2,Corn,1.93,1.13,1.03,0.78,April,2020,4.87,Harvest
Steven Christine Webster,Irrigated,PSB Rc82,Purok 2,Corn,1.29,2,0.83,1.39,May,2020,5.51,Harvest
Steven Christine Webster,Non-Irrigated,PSB Rc82,Purok 2,Corn,1.75,1.41,1.78,1.94,June,2020,6.88,Harvest
Steven Christine Webster,Irrigated,Tubigan 14,Purok 2,Corn,1.84,1.19,1.98,0.7,July,2020,5.71,Harvest
Steven Christine Webster,Irrigated,NSIC Rc 222,Purok 2,Corn,1.38,1.97,1.06,0.62,August,2020,5.03,Harvest
Steven Christine Webster,Irrigated,NSIC Rc 216,Purok 2,Corn,1.3,0.99,0.77,1.62,September,2020,4.68,Harvest
Steven Christine Webster,Non-Irrigated,NSIC Rc 216,Purok 2,Corn,0.96,0.99,1.03,0.6,October,2020,3.58,Harvest
Steven Christine Webster,Non-Irrigated,PSB Rc82,Purok 2,Corn,1.21,1.54,0.94,1.51,November,2020,5.2,Harvest
Steven Christine Webster,Non-Irrigated,NSIC Rc 216,Purok 2,Corn,1.61,1.78,0.57,0.83,December,2020,4.79,Harvest
Steven Christine Webster,Non-Irrigated,Tubigan 14,Purok 2,Corn,1.28,1.88,1.89,1.5,January,2021,6.55,Harvest
Steven Christine Webster,Non-Irrigated,PSB Rc82,Purok 2,Corn,0.61,1.2,1.11,1.59,February,2021,4.51,Harvest
Steven Christine Webster,Non-Irrigated,NSIC Rc 222,Purok 2,Corn,0.56,0.87,1.59,1.33,March,2021,4.35,Harvest
Steven Christine Webster,Non-Irrigated,NSIC Rc 216,Purok 2,Corn,0.67,0.63,1.1,0.87,April,2021,3.27,Harvest
Steven Christine Webster,Non-Irrigated,Tubigan 14,Purok 2,Corn,1.95,0.91,0.53,0.68,May,2021,4.07,Harvest
Steven Christine Webster,Non-Irrigated,NSIC Rc 222,Purok 2,Corn,0.5,1.4,1.02,0.68,June,2021,3.6,Harvest
Steven Christine Webster,Non-Irrigated,NSIC Rc 216,Purok 2,Corn,1.88,1.12,1.37,0.85,July,2021,5.22,Harvest
Steven Christine Webster,Non-Irrigated,NSIC Rc 222,Purok 2,Corn,1.49,1.83,0.9,0.64,August,2021,4.86,Harvest
Steven Christine Webster,Irrigated,NSIC Rc 222,Purok 2,Corn,1.89,1.43,0.81,1.91,September,2021,6.04,Harvest
Steven Christine Webster,Irrigated,NSIC Rc 216,Purok 2,Corn,0.77,0.55,1.91,1.86,October,2021,5.09,Harvest
Steven Christine Webster,Irrigated,NSIC Rc 216,Purok 2,Corn,0.88,1.17,1.54,1.81,November,2021,5.4,Harvest
Steven Christine Webster,Irrigated,NSIC Rc 216,Purok 2,Corn,1.35,0.87,1.37,1.27,December,2021,4.86,Harvest
Steven Christine Webster,Irrigated,Tubigan 14,Purok 2,Corn,1.36,0.59,1.13,1.45,January,2022,4.53,Harvest
Steven Christine Webster,Non-Irrigated,NSIC Rc 222,Purok 2,Corn,0.5,1.59,1.6,1.85,February,2022,5.54,Harvest
Steven Christine Webster,Non-Irrigated,NSIC Rc 222,Purok 2,Corn,0.73,1.25,0.62,1.31,March,2022,3.91,Harvest
Steven Christine Webster,Non-Irrigated,PSB Rc82,Purok 2,Corn,0.92,0.79,1.26,1,April,2022,3.97,Harvest
Steven Christine Webster,Irrigated,NSIC Rc 216,Purok 2,Corn,0.8,1.4,0.64,0.94,May,2022,3.78,Harvest
Steven Christine Webster,Irrigated,NSIC Rc 222,Purok 2,Corn,1.39,1.4,0.65,1.49,June,2022,4.93,Harvest
Steven Christine Webster,Non-Irrigated,Tubigan 14,Purok 2,Corn,1.27,0.97,1.44,1.29,July,2022,4.97,Harvest
Steven Christine Webster,Irrigated,Tubigan 14,Purok 2,Corn,1.82,1.26,1.39,0.67,August,2022,5.14,Harvest
Steven Christine Webster,Non-Irrigated,NSIC Rc 222,Purok 2,Corn,1.44,1.38,1.51,1.83,September,2022,6.16,Harvest
Steven Christine Webster,Non-Irrigated,Tubigan 14,Purok 2,Corn,1.22,1.61,1.27,1.28,October,2022,5.38,Harvest
Steven Christine Webster,Irrigated,PSB Rc82,Purok 2,Corn,1.44,1.9,1.8,1.22,November,2022,6.36,Harvest
Steven Christine Webster,Non-Irrigated,Tubigan 14,Purok 2,Corn,0.92,1.53,1.68,1.28,December,2022,5.41,Harvest
